@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "IOTA"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le             0.94077
@ PC               %le       0.06851054191
@ GAMMA            %le         1.002662254
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         39.96606465
@ ALFA             %le       0.07080135745
@ ORBIT5           %le                  -0
@ GAMMATR          %le         3.758194112
@ Q1               %le                5.31
@ Q2               %le                5.32
@ DQ1              %le        -131.1924228
@ DQ2              %le        -114.5938024
@ DXMAX            %le         33.93631269
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6.258189708
@ BETYMAX          %le         5.627607485
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         10.11385117
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.05.02 Darwin 64"
@ DATE             %08s "07/11/20"
@ TIME             %08s "00.35.35"
* NAME                                S               BETX               ALFX                 DX                DPX               BETY               ALFY 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_34"                 19.87803232       0.3476117756       0.6170382534        2.728398909       -2.020948382         5.62760748       -4.378690584
 "QE3"                      20.08803232       0.3476117779      -0.6170382654         2.72839894        2.020948682        5.627607485        4.378690565
 "DRIFT_35"                 20.56303232        1.829995065       -2.503768655        3.688349563        2.020948682        2.276635213        2.675987901
 "SQE2L"                    20.66303232        2.370469436       -2.900975053        3.890444432        2.020948682        1.777284005        2.317524182
 "DRIFT_36"                 20.89553232        3.934137719       -3.824479927           4.360315        2.020948682       0.8934073039        1.484096036
 "QE2L"                     21.10553232        4.253934452        2.466639319        4.087260721       -4.552162988       0.6204355702     -0.04924054847
 "DRIFT_37"                 22.14803232       0.9209093171       0.7305070943      -0.6583691934       -4.552162988        2.479031991       -1.733585755
 "SQE1L"                    22.24803232       0.7914614448       0.5639716292       -1.113585492       -4.552162988        2.841905931        -1.89515364
 "DRIFT_38"                 22.34053232       0.7013758841       0.4099263239       -1.534660569       -4.552162988        3.206333506       -2.044603934
 "QE1L"                     22.55053232       0.7405814409      -0.6094991208       -2.688255591       -6.625910243        3.389218597        1.235508407
 "DRIFT_39"                   23.100874        1.972345601        -1.62868164       -6.334770165       -6.625910243         2.25509287       0.8252581466
 "DEDGE305"                   23.100874        1.972345601        -1.62868164       -6.334770165       -6.625910243         2.25509287       0.7073039934
 "M4L"                      23.49201438         2.79128147      -0.2701064459       -6.586622711        5.367680722        1.803565018        0.447084261
 "DEDGE306"                 23.49201438         2.79128147      -0.2701064459       -6.586622711        5.367680722        1.803565018       0.3527475765
